Target X,Target Y,Ofsset X, Offset Y
0,0,0.04466918,-0.001595327
0.5736432,0.6058269,0.03190658,-0.00558365
-0.7160577,-0.7660715,0.01834628,0.0223346
0.7693232,0.6003923,0.01914394,-0.008774305
-0.7262731,-0.291131,0.02153694,0.01515562
-0.3240857,0.745955,0.05822945,0.005583649
0.8648564,-0.6398101,-0.0335019,0.004785985
0.8216184,0.4151177,-0.02392993,0.001595328
0.6252489,-0.7657017,-0.03031125,0.001595328
0.7978588,0.1133218,-0.02073927,0.00398832
0.6620631,0.6145211,-0.0111673,0.00398832
0.670577,1.01428,-0.01435795,-0.01675094
-0.4867325,-0.8999968,-0.00398832,0.00957197
0.4866842,-0.5250272,-0.01515562,0.005583648
0.5834943,-0.1796155,-0.01515562,0.007976641
-0.592267,1.094475,0.0398832,-1.280569E-09
-0.2075582,0.9460207,0.02632292,0.006381314
0.8585979,0.5047687,-0.007178981,1.513399E-09
-0.7694968,-0.4987618,0.005583646,0.0223346
-0.5000311,-0.4930511,0.007178975,0.01196496
-0.5476007,-0.5814561,0.007178975,0.01196496
0.6778841,0.8989083,0.02153693,-0.01356029
-0.8314473,-0.4568911,-0.003988326,0.01515562
-0.4207181,0.556841,0.03110891,0.006381313
-0.4179235,0.636704,0.04466918,0.007178978
-0.4519382,-0.9785345,0.01914394,0.0111673
0.599192,0.5895845,0.006381313,-0.00957197
0.1672034,-0.03102255,0.005583651,-0.003190655
0.4952853,-0.8440461,0.01595328,-0.003190655
-0.3968205,-0.9309002,0.05743179,-0.008774306
-0.4906506,-0.7444034,0.0422762,-0.008774306
-0.4586577,-0.5520918,0.01356029,-0.007976642
0.4357501,-0.7823581,0.003190659,-0.002392992
-0.4900392,0.5393921,0.02712059,5.820766E-10
-0.8232664,0.4914362,0.02153694,0.006381314
-0.4894944,1.040031,0.03509723,0.006381314
0.4861791,0.1139297,-0.001595325,0.003190657
-0.478055,0.2703958,0.01036964,0.006381313
0.6314588,0.8750227,0.0007976647,-0.004785985
0.6731218,0.5801091,0.02153694,0.002392992
0.5805315,0.7702655,0.02153694,0.002392992
0.9065182,-0.6281695,-0.02951358,0.02073927
0.08832932,0.4738539,0.001595325,-0.0007976645
-0.8641772,-0.5759674,0.008774308,0.01515562
0.7794386,-0.4346133,-0.009571973,0.01036963
-0.6145756,-0.4629509,-0.005583653,0.0111673
-0.08343792,0.6498208,0.005583646,0.006381312
-0.4192761,-0.5149942,0.0199416,-0.002392994
0.6841269,-0.4201586,0.003988321,0
0.4401104,0.7513798,0.006381317,-0.01675094
0.09558058,0.5781735,0.0223346,-0.0007976673
0.4911116,-0.495247,-0.005583645,-0.0007976673
0.2646484,0.4974902,0.004785989,-0.003988324
0.1838597,-0.375205,0.0223346,0.007976644
-0.1881917,-0.3158348,0.02073927,0.003190658
-0.2507839,0.1896153,0.01036963,-0.001595327
0.2551587,-0.2020676,0.003988321,0.004785986
-0.1544156,0.2984575,-0.01196496,3.49246E-10
0.3517987,0.2689982,-0.006381313,0.003988321
0.388709,-0.3363739,-0.008774306,0.003988321
0.4610643,0.1672811,0.006381314,0.003988321
-0.1917375,0.1902539,0.006381314,0.003988321
0.2503469,-0.3441186,0.006381314,0.003988321
0.2740775,-0.122118,0.007976643,0.003988321
0.3356128,-0.1833953,-0.003190656,0.003988321
-0.2119825,0.2148955,-0.01356029,0.003988321
0.2300518,-0.3821618,-0.01356029,0.003988321
-0.2279311,-0.2600566,-0.003190656,0.01036964
0.3393404,9.632111E-05,-0.01515562,0.003988321
-0.3688204,0.3817348,-0.02392993,0.01515562
0.276237,0.1196527,-0.03429957,0.0111673
0.193407,0.2809973,0.003190653,0.00159533
-0.1693534,0.9896284,0.01356028,1.280569E-09
0.2071211,-0.1992852,0.003190654,0.001595329
-0.1793921,0.1847782,0.02392992,-0.0007976636
0.2423296,0.3817172,0.01036963,-0.002392992
-0.2748587,-0.2254588,0.02951358,-0.008774305
0.5561562,0.2182378,0.008774301,-0.001595328
-0.2431836,-0.3257559,0.03669255,-0.01356029
0.3498354,0.1567507,0.003190652,-0.01036963
0.1795514,-0.1910107,0.02153693,-0.001595328
-0.3841899,-0.753418,0.05583647,0.001595329
-0.3566532,-0.3679166,0.03429957,0.0007976645
-0.2334145,0.1909072,0.02791825,-0.001595328
-0.2383936,-0.286875,0.01914394,5.820766E-10
0.2359774,-0.3213717,0.00957197,0.0007976647
0.1865073,-0.2143637,0.006381315,0.006381314
-0.2039385,0.2910216,0.008774305,0.006381314
0.3968556,0.6595049,0.03190657,-0.004785985
0.277232,-0.2458326,0.01914394,0.003190657
0.3007762,0.3880801,0.02871591,-0.002392992
-0.3409227,-0.377496,0.04147853,-0.02313226
-0.05395269,0.06350088,0.04706217,-0.01356029
-0.266885,0.2420665,0.03509722,-0.008774306
-0.3091305,-0.4774036,0.02552525,-0.02392993
0.7514569,-0.1730638,-0.008774309,-0.007178978
0.3480323,-0.3467366,0.009571965,-0.007178978
-0.2290667,-0.1944386,0.02951358,-0.01834627
0.1835494,-0.2259134,0.009571966,-0.0111673
-0.62854,0.2946736,0.01276262,-0.0111673
0.1880842,-0.9345822,0.04227619,-0.01196496
0.1714452,-0.314617,0.02871592,0.001595329
-0.8726044,-0.3426774,0.009571973,0.01834627
0.2150991,-0.7694201,0.02871592,-0.005583649
0.1971612,0.1852816,0.01754862,0.002392994
0.2048838,0.4960995,0.02313227,0.002392994
0.2735761,-0.8495588,0.008774301,0.007178977
-0.1697025,-0.2069129,0.01834627,-0.0007976647
-0.9774733,-0.5479865,-0.006381313,0.01435795
0.3869774,-0.1780515,0.01435795,-0.004785987
-0.2119244,-0.6261368,0.03749021,-0.01595328
-0.2760769,0.2129721,0.02871591,-0.007178978
-0.2899628,-0.7143722,0.02871591,-0.007178978
0.1985345,-0.2656828,0.01675095,0.004785987
0.06894398,-0.2529778,0.02552526,5.820766E-10
-0.1687261,0.2225931,0.02552526,-0.0007976636
-0.3464683,0.2772751,0.0247276,0.0007976645
-0.2394037,0.2076962,-0.0007976636,0.002392991
-0.2264185,0.663054,0.01675095,0.006381312
0.3581058,-0.2773454,-0.01196496,0.003190655
0.3812404,-0.3712144,-0.02632292,0.003190655
-0.222765,-0.1982591,0.01356029,-0.004785987
-0.2830346,-0.18163,0.005583653,0.0007976629
0.6576729,0.3289694,0.0111673,-0.002392994
0.7214608,0.2211825,0.01276263,-1.513399E-09
0.2575673,0.2705088,0.01036964,-1.513399E-09
-0.2188406,0.1798037,0.02712059,-1.513399E-09
0.2009867,0.250905,0.01914394,-1.513399E-09
0.3010205,0.2864078,0.02632293,-0.003190658
-0.5797181,0.1708508,0.03749022,0.001595327
-0.3407021,0.3316161,0.0422762,0.007976641
-0.2103808,-0.3595797,0.02712059,-1.513399E-09
0.02970123,0.7241688,0.02951358,0.002392991
0.1819947,0.3765382,0.02871592,0.002392991
-0.176944,-0.3056264,0.02951358,-0.007976644
0.2246308,-0.572928,0.02153694,-0.007976644
-0.3832576,0.198733,0.03110891,-0.0007976654
0.2414592,0.3375429,0.007178981,0.006381312
-0.2057682,-0.0496254,0.03190658,-0.005583651
-0.1857295,0.1443453,0.02392993,-1.280569E-09
-0.4890614,0.2082865,0.01435796,0.01435795
-0.1749134,0.3625787,0.0223346,0.006381313
0.1798116,0.1992541,0.03110891,-5.820766E-10
-0.2735928,-0.3101103,0.02871592,-0.00398832
0.353369,0.1904412,0.02712059,-0.00398832
0.03955746,-0.2531446,0.02712059,-0.00398832
-0.300381,0.1806677,0.0335019,0.003988322
0,0,0.04326434,-0.001716841
0.181478,-1.001149,0.05253526,-0.007554102
-0.05393124,0.2463431,0.03193321,0.004463787
0.2232372,-0.639637,0.02781281,0.00583726
-0.2894292,0.1951656,0.03605362,0.008927575
-0.3118367,-0.1876092,0.02128882,0.006523997
0.1780336,-0.2497468,0.008240839,-0.001716841
0.2752185,0.1815584,0.007554103,-0.001716841
-0.2975859,0.9421519,0.01236126,0.005150523
-0.2577197,-0.2365364,-0.01167452,0.005150523
-0.5517564,-0.2133736,0.002746945,0.006867365
0.6346645,-0.2022694,-0.013048,0.006523997
0.9455572,0.1817202,0.003433681,0.00789747
0.1769173,-0.3314161,0.01476484,0.00789747
0.4105258,-0.1957565,0.007210733,0.008584207
-0.3469956,0.8192974,0.04017403,0.008584207
-0.3107877,-0.6415625,0.04532455,-0.00995768
0.2650081,0.3428261,0.03021638,0.004463785
0.2402711,-0.3361621,0.01373473,0.007554101
-0.829596,-0.5081587,0.01682505,0.01339137
0.306393,0.624413,0.03158985,0.004807155
-0.2280853,-0.9690709,0.04223424,-0.006180629
-0.8185081,0.3741803,0.04223424,0.01476484
0.2868195,-0.05797386,0.004807159,0.01030105
0,0,0.04557298,-0.009648753
0.4030058,0.3074255,0.030598,-0.001773796
-0.1992851,-0.4272994,0.02572005,-0.0008868979
-0.1223103,0.3584745,0.02039866,2.910383E-10
0.2785866,0.4756639,0.01152968,0.001773797
0.5547028,0.8251638,-0.02084211,0.001773797
-0.1640333,-0.06181037,0.01685107,0.001330347
-0.8512852,-0.4450947,0.009312432,0.01906832
-0.8672848,0.5387712,0.03015455,0.01374692
-0.1238085,-0.9111292,0.05277037,-2.910383E-10
-0.01744878,-0.5953512,0.03991039,0.004434491
-0.9068151,0.3691823,0.02660695,0.006208288
-0.1866723,0.6703568,0.04301453,0.005764838
0.683845,0.2083725,0.01374692,0.0008868979
-0.2194182,0.3926727,-0.002217245,0.0008868979
-0.7367933,-0.2386779,-0.003991041,0.003104143
0.2550878,0.4734053,0.007095186,-0.002660695
0,0,0.03774893,-0.001549925
0.4681906,0.3097978,0.00684227,0.000864655
0.205971,-0.06120294,0.006359354,-0.001067009
-0.2027827,-0.1214647,0.01843226,-0.004447422
0.254524,0.1937386,-0.0042648,-0.004447422
-0.421247,0.3796437,0.01263726,-0.0005840932
-0.4785708,-0.2757332,-0.002333135,-0.0005840932
-0.1550462,-0.470311,0.02422726,-0.005413254
0.0981552,-0.2563452,0.008773933,-0.004930338
0.4610583,-0.402851,-0.003298968,-0.004930338
-0.3206055,-0.1722261,0.02084684,-0.004930338
-0.006752551,-0.3501762,0.01360309,-0.004930338
0.3577396,0.2874709,0.02567601,-0.003481593
-0.4251649,-0.3926282,0.0367831,-0.002998677
0.2740012,0.01664549,0.02229559,0.0003817362
0.2235386,0.0637998,0.02229559,0.0003817362
0.4263368,0.2771373,0.01263726,0.0003817362
0.05952042,-0.4215099,0.005393522,0.002796317
-0.4416723,-0.0869115,0.005393522,0.002796317
-0.2486325,0.3262111,0.005393522,0.002796317
0.07237214,0.2945822,0.0227785,-0.003964509
-0.02591914,-0.3488933,0.0323554,0
-0.3424029,0.4820437,0.02559456,0
0.07548565,-0.1250966,0.02269706,0.001448748
0.4579754,0.2273893,0.02124831,0.00241458
0.0285942,0.356988,0.02269706,0.00241458
-0.3998237,-0.2543366,0.03670165,-0.001931664
0.2779078,0.3701247,0.01979956,-0.001448748
0.4965557,0.3460233,0.01835081,-0.001448748
-0.4930184,0.4574432,0.03283831,-0.001448748
0.3091234,0.2351836,0.02269706,-0.00241458
-0.4414577,-0.1366084,-0.001448749,0.003380414
0.03361124,-0.08918494,0.02173123,-0.006760824
